textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
יהוה said to Moses and Aaron in the land of Egypt:,"O animal escolhido será macho de um ano, sem defeito, e pode ser cordeiro ou cabrito.",,Ex,12,5
"Comfort, oh comfort My people,<br>Says your God.","A relva murcha e cai a sua flor, quando o vento do Senhor sopra sobre eles; o povo não passa de relva.",,Is,40,7
"Comfort, oh comfort My people,<br>Says your God.","Você, que traz boas novas a Sião, suba num alto monte. Você, que traz boas novas a Jerusalém, erga a sua voz com fortes gritos, erga-a, não tenha medo; diga às cidades de Judá: ""Aqui está o seu Deus! """,,Is,40,9
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Ele foi oprimido e afligido, contudo não abriu a sua boca; como um cordeiro foi levado para o matadouro, e como uma ovelha que diante de seus tosquiadores fica calada, ele não abriu a sua boca.",,Is,53,7
"Awake, awake, O Zion!<br>Clothe yourself in splendor;<br>Put on your robes of majesty,<br>Jerusalem, holy city!<br>For the uncircumcised and the unclean<br>Shall never enter you again.","de igual modo ele aspergirá muitas nações, e reis calarão a boca por causa dele. Pois aquilo que não lhes foi dito verão, e o que não ouviram compreenderão.",,Is,52,15
"<sup class=""footnote-marker"">a</sup><i class=""footnote"">Clauses transposed for clarity.</i>The L<small>ORD</small>, enthroned on cherubim, is king,<br>peoples tremble, the earth quakes.<sup class=""endFootnote"">-a</sup>","Exaltem o Senhor, o nosso Deus, prostrem-se diante do estrado dos seus pés. Ele é santo!",,Sl,99,5
"Comfort, oh comfort My people,<br>Says your God.","A relva murcha, e as flores caem, mas a palavra de nosso Deus permanece para sempre. """,,Is,40,8
"Then [God] said to Moses, “Come up to <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a>, with Aaron, Nadab and Abihu, and seventy elders of Israel, and bow low from afar.","Em seguida, leu o Livro da Aliança para o povo, e eles disseram: ""Faremos fielmente tudo o que o Senhor ordenou"".",,Ex,24,7
" <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> spoke to Moses, saying:","""Diga o seguinte a toda comunidade de Israel: Sejam santos porque eu, o Senhor, o Deus de vocês, sou santo.",,Lv,19,2
"A <i>michtam</i><sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain.</i> of David.<br><br>Protect me, O God, for I seek refuge in You.","porque tu não me abandonarás no sepulcro, nem permitirás que o teu santo sofra decomposição.",,Sl,16,10
