Source	Target	Description	Adicional
00000	18000	"18000"	"Quando ele chegou ao outro lado, à região dos gadarenos, foram ao seu encontro dois endemoninhados, que vinham dos sepulcros."
18000	18001	"18001"	"Eles eram tão violentos que ninguém podia passar por aquele caminho."
18001	18002	"18002"	"Então eles gritaram: Que queres conosco, Filho de Deus?"
18002	18003	"18003"	"Vieste aqui para nos atormentar antes do devido tempo?"
18003	18004	"18004"	"A certa distância deles estava pastando uma grande manada de porcos."
18004	09000	"09000"	"Os demônios imploravam a Jesus: Se nos expulsas, manda-nos entrar naquela manada de porcos."
09000	18006	"18006"	"Ele lhes disse: Vão!"
18006	18007	"18007"	"Eles saíram e entraram nos porcos, e toda a manada atirou-se precipício abaixo, em direção ao mar, e morreu afogada."
18007	09002	"09002"	"Vendo o que acontecera, os que cuidavam dos porcos fugiram e contaram esses fatos, na cidade e nos campos, e o povo foi ver o que havia acontecido."
09002	18009	"18009"	"Toda a cidade saiu ao encontro de Jesus, e quando o viram, suplicaram-lhe que saísse do território deles."
00000	28000	"28000"	"Eles atravessaram o mar e foram para a região dos gerasenos."
28000	28001	"28001"	"Quando Jesus desembarcou, um homem com um espírito imundo veio dos sepulcros ao seu encontro."
28001	28002	"28002"	"Esse homem vivia nos sepulcros, e ninguém conseguia prendê-lo, nem mesmo com correntes; pois muitas vezes lhe haviam sido acorrentados pés e mãos, mas ele arrebentara as correntes e quebrara os ferros de seus pés."
28002	28003	"28003"	"Ninguém era suficientemente forte para dominá-lo."
28003	28004	"28004"	"Noite e dia ele andava gritando e cortando-se com pedras entre os sepulcros e nas colinas."
28004	09003	"09003"	"Quando ele viu Jesus de longe, correu e prostrou-se diante dele, e gritou em alta voz: Que queres comigo, Jesus, Filho do Deus Altíssimo?"
09003	09004	"09004"	"Rogo-te por Deus que não me atormentes!"
09004	09005	"09005"	"Pois Jesus havia ordenado que o espírito imundo saísse daquele homem."
09005	09006	"09006"	"Então Jesus lhe perguntou: Qual é o seu nome?"
09006	28009	"28009"	"Meu nome é Legião, respondeu ele, porque somos muitos."
28009	28010	"28010"	"E implorava a Jesus, com insistência, que não os mandasse sair daquela região."
28010	09007	"09007"	"Uma grande manada de porcos estava pastando numa colina próxima."
09007	09000	"09000"	"Os demônios imploravam a Jesus: Se nos expulsas, manda-nos entrar naquela manada de porcos."
09000	28013	"28013"	"Ele lhes deu permissão, e os espíritos imundos saíram e entraram nos porcos."
28013	28014	"28014"	"A manada de cerca de dois mil porcos atirou-se precipício abaixo, em direção ao mar, e nele se afogou."
28014	09008	"09008"	"Os que cuidavam dos porcos fugiram e contaram esses fatos na cidade e nos campos, e o povo foi ver o que havia acontecido."
09008	09009	"09009"	"Quando se aproximaram de Jesus, viram que o homem de quem haviam saído os demônios estava assentado aos pés de Jesus, vestido e em perfeito juízo, e ficaram com medo."
09009	28017	"28017"	"Os que o tinham visto contaram ao povo o que acontecera ao endemoninhado, e falaram também sobre os porcos."
28017	28018	"28018"	"Então o povo começou a suplicar a Jesus que saísse do território deles."
28018	28019	"28019"	"Quando Jesus estava entrando no barco, o homem que estivera endemoninhado suplicava-lhe que o deixasse ir com ele."
